text,category,urgency_score
Power outage and smoke near inverter room in hostel E,Electrical,9
Medical emergency: student unconscious in room 154,Other,10
Ceiling stains in room 231,Civil,2
Minor wall crack in room 173,Civil,2
Elevator stuck between floors in block 1,Other,10
No power in one socket of room 138,Electrical,4
Water leak flooding the corridor near block 4,Plumbing,8
Minor leak under washbasin in room 150,Plumbing,3
Broken window in common area of hostel D,Civil,7
Garbage not cleared for two days in hostel G,Other,3
Water seepage on wall of room 219,Civil,7
Burning smell from wiring in hostel F,Electrical,9
Gas leak smell in cafeteria near hostel G,Other,10
Burning smell from wiring in hostel D,Electrical,9
No power in one socket of room 225,Electrical,4
Pest sighting in room 120,Other,3
Medical emergency: student unconscious in room 160,Other,10
Water seepage on wall of room 117,Civil,7
Broken window in common area of hostel C,Civil,7
Ceiling crack spreading in room 200,Civil,7
Security concern: main gate not locking in hostel G,Other,8
Paint peeling in room 293,Civil,2
Broken window in common area of hostel E,Civil,7
Suspicious activity reported near block 2 entrance,Other,8
Broken window in common area of hostel A,Civil,7
Common room needs cleaning in hostel F,Other,3
Minor wall crack in room 107,Civil,2
Bathroom drainage clogged and overflowing in room 155,Plumbing,8
Room needs repainting in hostel C,Civil,2
Main water valve stuck and leaking in block 3,Plumbing,8
Burst pipe in hostel B causing water overflow,Plumbing,8
Toilet flush weak in block 4 restroom,Plumbing,3
Very slow WiFi in room 256,Internet,5
Shower pressure very low in bathroom 249,Plumbing,3
Bathroom drainage clogged and overflowing in room 202,Plumbing,8
Security concern: main gate not locking in hostel C,Other,8
Noise complaint about late-night disturbance in block 5,Other,3
Door lock jammed in room 311,Carpenter,4
Paint peeling in room 263,Civil,2
Minor wall crack in room 288,Civil,2
Ceiling stains in room 169,Civil,2
Wardrobe lock broken in room 172,Carpenter,4
Minor wall crack in room 246,Civil,2
Emergency exit door blocked in block 1,Other,8
Wardrobe lock broken in room 191,Carpenter,4
Very slow WiFi in room 280,Internet,5
Network latency high during exams in hostel A,Internet,5
Shower pressure very low in bathroom 226,Plumbing,3
Severe injury reported in hostel F common room,Other,10
Ceiling stains in room 124,Civil,2
WiFi router rebooting frequently in block 2,Internet,5
Water cooler not chilled in block 4,Other,3
Window latch not closing in room 165,Carpenter,4
Toilet flush weak in block 2 restroom,Plumbing,3
Tube light not working in room 295,Electrical,4
No power in one socket of room 146,Electrical,4
Burning smell from wiring in hostel A,Electrical,9
Cannot connect to hostel WiFi from room 188,Internet,5
Sparks coming from switchboard in room 130,Electrical,9
Minor leak under washbasin in room 248,Plumbing,3
CCTV not working in corridor of hostel A,Other,8
Suspicious activity reported near block 5 entrance,Other,8
Ceiling stains in room 210,Civil,2
Network latency high during exams in hostel E,Internet,5
Shower pressure very low in bathroom 168,Plumbing,3
Medical emergency: student unconscious in room 205,Other,10
Loose floor tile in room 109,Civil,2
No power in one socket of room 280,Electrical,4
Paint peeling in room 168,Civil,2
Sparks coming from switchboard in room 303,Electrical,9
Network latency high during exams in hostel F,Internet,5
Paint peeling in room 280,Civil,2
Staircase tile loose in block 5,Civil,7
Paint peeling in room 211,Civil,2
Study table wobbling in room 124,Carpenter,4
Charging points loose in room 296,Electrical,4
Noise complaint about late-night disturbance in block 1,Other,3
Burning smell from wiring in hostel E,Electrical,9
Power outage and smoke near inverter room in hostel D,Electrical,9
Room needs repainting in hostel D,Civil,2
Medical emergency: student unconscious in room 181,Other,10
Very slow WiFi in room 232,Internet,5
Main water valve stuck and leaking in block 4,Plumbing,8
Charging points loose in room 294,Electrical,4
Ceiling stains in room 153,Civil,2
Network latency high during exams in hostel B,Internet,5
Paint peeling in room 305,Civil,2
Fan making loud noise in room 104,Electrical,4
Minor leak under washbasin in room 228,Plumbing,3
Ceiling stains in room 242,Civil,2
Burning smell from wiring in hostel B,Electrical,9
Sparks coming from switchboard in room 188,Electrical,9
Fire alarm triggered due to smoke near kitchen in block 1,Other,10
Loose floor tile in room 186,Civil,2
Elevator stuck between floors in block 4,Other,10
Fan making loud noise in room 160,Electrical,4
Ceiling crack spreading in room 281,Civil,7
Broken window in common area of hostel F,Civil,7
Minor leak under washbasin in room 217,Plumbing,3
Burst pipe in hostel D causing water overflow,Plumbing,8
Ceiling crack spreading in room 319,Civil,7
Loose floor tile in room 118,Civil,2
No power in one socket of room 212,Electrical,4
Tap dripping continuously in room 278,Plumbing,3
Bathroom drainage clogged and overflowing in room 211,Plumbing,8
Pest sighting in room 121,Other,3
Emergency exit door blocked in block 2,Other,8
Suspicious activity reported near block 4 entrance,Other,8
Cannot connect to hostel WiFi from room 306,Internet,5
Room needs repainting in hostel F,Civil,2
Minor leak under washbasin in room 177,Plumbing,3
Tube light not working in room 248,Electrical,4
Very slow WiFi in room 171,Internet,5
Wardrobe lock broken in room 259,Carpenter,4
Garbage not cleared for two days in hostel C,Other,3
CCTV not working in corridor of hostel F,Other,8
Very slow WiFi in room 145,Internet,5
Fan making loud noise in room 194,Electrical,4
Elevator stuck between floors in block 2,Other,10
Minor leak under washbasin in room 294,Plumbing,3
Tube light not working in room 194,Electrical,4
Minor leak under washbasin in room 238,Plumbing,3
Minor leak under washbasin in room 250,Plumbing,3
Staircase tile loose in block 2,Civil,7
Light flickering in hallway of block 4,Electrical,4
Cannot connect to hostel WiFi from room 112,Internet,5
Bathroom drainage clogged and overflowing in room 125,Plumbing,8
Charging points loose in room 217,Electrical,4
Study table wobbling in room 291,Carpenter,4
Wardrobe lock broken in room 161,Carpenter,4
Door lock jammed in room 240,Carpenter,4
Noise complaint about late-night disturbance in block 4,Other,3
Pest sighting in room 106,Other,3
Bathroom drainage clogged and overflowing in room 302,Plumbing,8
Short circuit smell near corridor panel in block 3,Electrical,9
Sparks coming from switchboard in room 134,Electrical,9
Bathroom drainage clogged and overflowing in room 251,Plumbing,8
Door lock jammed in room 114,Carpenter,4
Minor leak under washbasin in room 232,Plumbing,3
Security concern: main gate not locking in hostel D,Other,8
Security concern: main gate not locking in hostel F,Other,8
Paint peeling in room 317,Civil,2
Paint peeling in room 256,Civil,2
Sparks coming from switchboard in room 260,Electrical,9
Repeated power trips in hostel C causing safety issues,Other,8
Minor wall crack in room 312,Civil,2
Ceiling stains in room 181,Civil,2
Tap dripping continuously in room 291,Plumbing,3
Wardrobe lock broken in room 251,Carpenter,4
Window latch not closing in room 174,Carpenter,4
CCTV not working in corridor of hostel C,Other,8
Severe injury reported in hostel B common room,Other,10
Sink drain slow and gurgling in room 195,Plumbing,3
Sink drain slow and gurgling in room 307,Plumbing,3
Water cooler not chilled in block 5,Other,3
Internet down in hostel B since last night,Internet,5
Very slow WiFi in room 147,Internet,5
Power outage and smoke near inverter room in hostel F,Electrical,9
Sparks coming from switchboard in room 156,Electrical,9
Bed frame broken in room 299,Carpenter,4
Ceiling stains in room 214,Civil,2
Window latch not closing in room 274,Carpenter,4
Electric shock from switch in room 131,Electrical,9
No water supply since morning in hostel F,Plumbing,8
Fire alarm triggered due to smoke near kitchen in block 4,Other,10
No water supply since morning in hostel A,Plumbing,8
Study table wobbling in room 204,Carpenter,4
Bathroom drainage clogged and overflowing in room 218,Plumbing,8
Door lock jammed in room 163,Carpenter,4
Wardrobe lock broken in room 263,Carpenter,4
Bed frame broken in room 161,Carpenter,4
Shower pressure very low in bathroom 145,Plumbing,3
Suspicious activity reported near block 1 entrance,Other,8
Common room needs cleaning in hostel D,Other,3
Emergency exit door blocked in block 5,Other,8
Paint peeling in room 262,Civil,2
Very slow WiFi in room 191,Internet,5
Medical emergency: student unconscious in room 216,Other,10
No water supply since morning in hostel G,Plumbing,8
No power in one socket of room 229,Electrical,4
Sparks coming from switchboard in room 308,Electrical,9
Door lock jammed in room 111,Carpenter,4
Tube light not working in room 234,Electrical,4
Suspicious activity reported near block 3 entrance,Other,8
Broken window in common area of hostel G,Civil,7
Door lock jammed in room 173,Carpenter,4
Cannot connect to hostel WiFi from room 282,Internet,5
Sink drain slow and gurgling in room 265,Plumbing,3
Wardrobe lock broken in room 124,Carpenter,4
Bed frame broken in room 188,Carpenter,4
Minor wall crack in room 140,Civil,2
Sink drain slow and gurgling in room 230,Plumbing,3
Elevator stuck between floors in block 3,Other,10
Short circuit smell near corridor panel in block 5,Electrical,9
Pest sighting in room 173,Other,3
Minor wall crack in room 180,Civil,2
Minor wall crack in room 213,Civil,2
Gas leak smell in cafeteria near hostel B,Other,10
Toilet flush weak in block 1 restroom,Plumbing,3
Shower pressure very low in bathroom 232,Plumbing,3
Room needs repainting in hostel A,Civil,2
Fallen plaster in corridor of block 2,Civil,7
Sink drain slow and gurgling in room 182,Plumbing,3
Sink drain slow and gurgling in room 136,Plumbing,3
Bathroom drainage clogged and overflowing in room 279,Plumbing,8
Tap dripping continuously in room 314,Plumbing,3
Ceiling crack spreading in room 161,Civil,7
Loose floor tile in room 262,Civil,2
Ceiling crack spreading in room 162,Civil,7
Door lock jammed in room 230,Carpenter,4
Bathroom drainage clogged and overflowing in room 189,Plumbing,8
Light flickering in hallway of block 5,Electrical,4
Wardrobe lock broken in room 240,Carpenter,4
Wardrobe lock broken in room 279,Carpenter,4
Minor wall crack in room 117,Civil,2
Paint peeling in room 112,Civil,2
Light flickering in hallway of block 3,Electrical,4
Pest sighting in room 300,Other,3
Bathroom drainage clogged and overflowing in room 305,Plumbing,8
Window latch not closing in room 199,Carpenter,4
Wardrobe lock broken in room 195,Carpenter,4
Ceiling crack spreading in room 311,Civil,7
Power outage and smoke near inverter room in hostel C,Electrical,9
Sink drain slow and gurgling in room 179,Plumbing,3
Loose floor tile in room 143,Civil,2
Study table wobbling in room 264,Carpenter,4
No power in one socket of room 246,Electrical,4
Window latch not closing in room 247,Carpenter,4
Sink drain slow and gurgling in room 281,Plumbing,3
Minor wall crack in room 278,Civil,2
Minor wall crack in room 319,Civil,2
Minor leak under washbasin in room 123,Plumbing,3
Paint peeling in room 247,Civil,2
Window latch not closing in room 134,Carpenter,4
Loose floor tile in room 311,Civil,2
Security concern: main gate not locking in hostel B,Other,8
Minor leak under washbasin in room 189,Plumbing,3
Electric shock from switch in room 189,Electrical,9
Charging points loose in room 261,Electrical,4
Pest sighting in room 140,Other,3
Main water valve stuck and leaking in block 2,Plumbing,8
Tube light not working in room 119,Electrical,4
Minor wall crack in room 137,Civil,2
Bed frame broken in room 203,Carpenter,4
Electric shock from switch in room 128,Electrical,9
Wardrobe lock broken in room 169,Carpenter,4
Minor wall crack in room 113,Civil,2
Cannot connect to hostel WiFi from room 208,Internet,5
Fan making loud noise in room 248,Electrical,4
Wardrobe lock broken in room 228,Carpenter,4
Gas leak smell in cafeteria near hostel D,Other,10
Water leak flooding the corridor near block 5,Plumbing,8
Fan making loud noise in room 113,Electrical,4
Bathroom drainage clogged and overflowing in room 316,Plumbing,8
Minor leak under washbasin in room 287,Plumbing,3
Window latch not closing in room 203,Carpenter,4
Loose floor tile in room 275,Civil,2
Bed frame broken in room 294,Carpenter,4
Medical emergency: student unconscious in room 136,Other,10
Window latch not closing in room 139,Carpenter,4
Repeated power trips in hostel B causing safety issues,Other,8
Wardrobe lock broken in room 290,Carpenter,4
Network latency high during exams in hostel C,Internet,5
Elevator stuck between floors in block 5,Other,10
Paint peeling in room 273,Civil,2
Minor leak under washbasin in room 304,Plumbing,3
Pest sighting in room 280,Other,3
Shower pressure very low in bathroom 181,Plumbing,3
Water seepage on wall of room 206,Civil,7
Power outage and smoke near inverter room in hostel B,Electrical,9
Bed frame broken in room 150,Carpenter,4
No power in one socket of room 158,Electrical,4
Very slow WiFi in room 277,Internet,5
Very slow WiFi in room 274,Internet,5
Electric shock from switch in room 283,Electrical,9
Sink drain slow and gurgling in room 292,Plumbing,3
Minor wall crack in room 170,Civil,2
Pest sighting in room 141,Other,3
Very slow WiFi in room 297,Internet,5
Toilet flush weak in block 5 restroom,Plumbing,3
Broken window in common area of hostel B,Civil,7
Bathroom drainage clogged and overflowing in room 128,Plumbing,8
Bed frame broken in room 235,Carpenter,4
Minor wall crack in room 220,Civil,2
Door lock jammed in room 148,Carpenter,4
Cannot connect to hostel WiFi from room 293,Internet,5
Very slow WiFi in room 286,Internet,5
Light flickering in hallway of block 1,Electrical,4
WiFi router rebooting frequently in block 5,Internet,5
Pest sighting in room 275,Other,3
Door lock jammed in room 116,Carpenter,4
Charging points loose in room 209,Electrical,4
Door lock jammed in room 118,Carpenter,4
Paint peeling in room 147,Civil,2
Noise complaint about late-night disturbance in block 2,Other,3
Fan making loud noise in room 140,Electrical,4
Loose floor tile in room 163,Civil,2
No water supply since morning in hostel D,Plumbing,8
Charging points loose in room 254,Electrical,4
Internet down in hostel E since last night,Internet,5
Window latch not closing in room 182,Carpenter,4
No power in one socket of room 307,Electrical,4
Paint peeling in room 207,Civil,2
Cannot connect to hostel WiFi from room 255,Internet,5
Bed frame broken in room 149,Carpenter,4
Minor leak under washbasin in room 281,Plumbing,3
Tube light not working in room 183,Electrical,4
Cannot connect to hostel WiFi from room 267,Internet,5
Bed frame broken in room 232,Carpenter,4
Ceiling stains in room 295,Civil,2
Wardrobe lock broken in room 206,Carpenter,4
Sparks coming from switchboard in room 250,Electrical,9
Wardrobe lock broken in room 314,Carpenter,4
Tube light not working in room 166,Electrical,4
Ceiling stains in room 288,Civil,2
Wardrobe lock broken in room 226,Carpenter,4
Water leak flooding the corridor near block 1,Plumbing,8
No water supply since morning in hostel B,Plumbing,8
Sparks coming from switchboard in room 217,Electrical,9
Door lock jammed in room 224,Carpenter,4
Common room needs cleaning in hostel A,Other,3
Ceiling crack spreading in room 218,Civil,7
Garbage not cleared for two days in hostel F,Other,3
Ceiling stains in room 245,Civil,2
Charging points loose in room 120,Electrical,4
Sparks coming from switchboard in room 114,Electrical,9
Minor leak under washbasin in room 188,Plumbing,3
Repeated power trips in hostel E causing safety issues,Other,8
Door lock jammed in room 301,Carpenter,4
Ceiling crack spreading in room 176,Civil,7
Water seepage on wall of room 182,Civil,7
Door lock jammed in room 179,Carpenter,4
Sparks coming from switchboard in room 215,Electrical,9
Repeated power trips in hostel G causing safety issues,Other,8
Bathroom drainage clogged and overflowing in room 300,Plumbing,8
Very slow WiFi in room 117,Internet,5
Paint peeling in room 164,Civil,2
Paint peeling in room 102,Civil,2
Window latch not closing in room 309,Carpenter,4
Staircase tile loose in block 4,Civil,7
No power in one socket of room 310,Electrical,4
Minor wall crack in room 313,Civil,2
Minor leak under washbasin in room 136,Plumbing,3
Burning smell from wiring in hostel G,Electrical,9
Loose floor tile in room 203,Civil,2
Bathroom drainage clogged and overflowing in room 253,Plumbing,8
Emergency exit door blocked in block 3,Other,8
Ceiling crack spreading in room 167,Civil,7
Charging points loose in room 243,Electrical,4
Severe injury reported in hostel C common room,Other,10
Sink drain slow and gurgling in room 130,Plumbing,3
Electric shock from switch in room 217,Electrical,9
Charging points loose in room 222,Electrical,4
Minor leak under washbasin in room 182,Plumbing,3
Sink drain slow and gurgling in room 106,Plumbing,3
Door lock jammed in room 290,Carpenter,4
Charging points loose in room 141,Electrical,4
Study table wobbling in room 160,Carpenter,4
Water seepage on wall of room 202,Civil,7
Paint peeling in room 236,Civil,2
Loose floor tile in room 258,Civil,2
Shower pressure very low in bathroom 147,Plumbing,3
Wardrobe lock broken in room 208,Carpenter,4
Pest sighting in room 226,Other,3
Loose floor tile in room 103,Civil,2
Minor wall crack in room 244,Civil,2
Burst pipe in hostel C causing water overflow,Plumbing,8
Charging points loose in room 300,Electrical,4
Loose floor tile in room 241,Civil,2
Medical emergency: student unconscious in room 169,Other,10
Loose floor tile in room 127,Civil,2
Pest sighting in room 216,Other,3
Very slow WiFi in room 213,Internet,5
Shower pressure very low in bathroom 277,Plumbing,3
Study table wobbling in room 143,Carpenter,4
Very slow WiFi in room 320,Internet,5
Medical emergency: student unconscious in room 116,Other,10
Electric shock from switch in room 295,Electrical,9
Paint peeling in room 204,Civil,2
Room needs repainting in hostel E,Civil,2
Minor leak under washbasin in room 318,Plumbing,3
Tube light not working in room 313,Electrical,4
Very slow WiFi in room 134,Internet,5
Shower pressure very low in bathroom 101,Plumbing,3
Water seepage on wall of room 267,Civil,7
Pest sighting in room 261,Other,3
Tap dripping continuously in room 120,Plumbing,3
Paint peeling in room 310,Civil,2
Minor leak under washbasin in room 223,Plumbing,3
Shower pressure very low in bathroom 288,Plumbing,3
Tap dripping continuously in room 177,Plumbing,3
Pest sighting in room 245,Other,3
Shower pressure very low in bathroom 251,Plumbing,3
Bathroom drainage clogged and overflowing in room 256,Plumbing,8
Ceiling crack spreading in room 264,Civil,7
Study table wobbling in room 296,Carpenter,4
Paint peeling in room 118,Civil,2
Bathroom drainage clogged and overflowing in room 116,Plumbing,8
Internet down in hostel C since last night,Internet,5
Fan making loud noise in room 201,Electrical,4
Minor leak under washbasin in room 115,Plumbing,3
Sparks coming from switchboard in room 189,Electrical,9
Wardrobe lock broken in room 288,Carpenter,4
Tap dripping continuously in room 170,Plumbing,3
Medical emergency: student unconscious in room 261,Other,10
Minor leak under washbasin in room 193,Plumbing,3
Wardrobe lock broken in room 247,Carpenter,4
Window latch not closing in room 320,Carpenter,4
Wardrobe lock broken in room 170,Carpenter,4
Medical emergency: student unconscious in room 220,Other,10
Very slow WiFi in room 242,Internet,5
Paint peeling in room 175,Civil,2
Charging points loose in room 139,Electrical,4
Door lock jammed in room 295,Carpenter,4
Charging points loose in room 226,Electrical,4
Burst pipe in hostel F causing water overflow,Plumbing,8
Window latch not closing in room 249,Carpenter,4
Room needs repainting in hostel B,Civil,2
Cannot connect to hostel WiFi from room 124,Internet,5
Electric shock from switch in room 111,Electrical,9
No power in one socket of room 283,Electrical,4
No power in one socket of room 113,Electrical,4
Minor leak under washbasin in room 132,Plumbing,3
Tube light not working in room 250,Electrical,4
Shower pressure very low in bathroom 308,Plumbing,3
Sparks coming from switchboard in room 132,Electrical,9
Electric shock from switch in room 139,Electrical,9
Paint peeling in room 199,Civil,2
Window latch not closing in room 189,Carpenter,4
Sparks coming from switchboard in room 157,Electrical,9
Bathroom drainage clogged and overflowing in room 236,Plumbing,8
Study table wobbling in room 126,Carpenter,4
Fan making loud noise in room 309,Electrical,4
Study table wobbling in room 246,Carpenter,4
Loose floor tile in room 226,Civil,2
Study table wobbling in room 188,Carpenter,4
Electric shock from switch in room 138,Electrical,9
Very slow WiFi in room 288,Internet,5
Very slow WiFi in room 287,Internet,5
Door lock jammed in room 182,Carpenter,4
Bathroom drainage clogged and overflowing in room 278,Plumbing,8
Sink drain slow and gurgling in room 285,Plumbing,3
Water seepage on wall of room 197,Civil,7
Study table wobbling in room 313,Carpenter,4
Loose floor tile in room 142,Civil,2
Paint peeling in room 176,Civil,2
Bathroom drainage clogged and overflowing in room 119,Plumbing,8
No water supply since morning in hostel E,Plumbing,8
Minor wall crack in room 101,Civil,2
Ceiling crack spreading in room 223,Civil,7
Sink drain slow and gurgling in room 221,Plumbing,3
Electric shock from switch in room 148,Electrical,9
Paint peeling in room 220,Civil,2
Loose floor tile in room 177,Civil,2
Minor leak under washbasin in room 229,Plumbing,3
Short circuit smell near corridor panel in block 2,Electrical,9
Pest sighting in room 167,Other,3
Door lock jammed in room 243,Carpenter,4
Paint peeling in room 251,Civil,2
Tap dripping continuously in room 302,Plumbing,3
Repeated power trips in hostel F causing safety issues,Other,8
Cannot connect to hostel WiFi from room 169,Internet,5
Minor wall crack in room 290,Civil,2
Network latency high during exams in hostel D,Internet,5
Bathroom drainage clogged and overflowing in room 171,Plumbing,8
Window latch not closing in room 263,Carpenter,4
Tap dripping continuously in room 226,Plumbing,3
Fire alarm triggered due to smoke near kitchen in block 2,Other,10
No power in one socket of room 232,Electrical,4
Power outage and smoke near inverter room in hostel G,Electrical,9
Window latch not closing in room 220,Carpenter,4
Study table wobbling in room 256,Carpenter,4
Very slow WiFi in room 224,Internet,5
Sink drain slow and gurgling in room 171,Plumbing,3
Very slow WiFi in room 233,Internet,5
Gas leak smell in cafeteria near hostel F,Other,10
Internet down in hostel D since last night,Internet,5
Door lock jammed in room 158,Carpenter,4
Cannot connect to hostel WiFi from room 196,Internet,5
Minor leak under washbasin in room 249,Plumbing,3
Minor leak under washbasin in room 206,Plumbing,3
Sparks coming from switchboard in room 262,Electrical,9
Electric shock from switch in room 102,Electrical,9
Study table wobbling in room 274,Carpenter,4
Sparks coming from switchboard in room 251,Electrical,9
Cannot connect to hostel WiFi from room 253,Internet,5
Ceiling crack spreading in room 287,Civil,7
Garbage not cleared for two days in hostel D,Other,3
Minor leak under washbasin in room 152,Plumbing,3
Minor wall crack in room 185,Civil,2
Medical emergency: student unconscious in room 166,Other,10
Pest sighting in room 168,Other,3
Paint peeling in room 111,Civil,2
Very slow WiFi in room 210,Internet,5
Tap dripping continuously in room 103,Plumbing,3
Wardrobe lock broken in room 203,Carpenter,4
Ceiling stains in room 129,Civil,2
Sparks coming from switchboard in room 127,Electrical,9
Minor wall crack in room 300,Civil,2
Study table wobbling in room 224,Carpenter,4
Sink drain slow and gurgling in room 104,Plumbing,3
Tube light not working in room 139,Electrical,4
Minor wall crack in room 183,Civil,2
No power in one socket of room 230,Electrical,4
Charging points loose in room 204,Electrical,4
Door lock jammed in room 127,Carpenter,4
Shower pressure very low in bathroom 191,Plumbing,3
Tap dripping continuously in room 136,Plumbing,3
Ceiling crack spreading in room 151,Civil,7
Minor wall crack in room 128,Civil,2
Ceiling crack spreading in room 132,Civil,7
Ceiling stains in room 230,Civil,2
Sparks coming from switchboard in room 256,Electrical,9
No power in one socket of room 176,Electrical,4
Minor wall crack in room 255,Civil,2
Very slow WiFi in room 282,Internet,5
Pest sighting in room 278,Other,3
Study table wobbling in room 247,Carpenter,4
Ceiling crack spreading in room 107,Civil,7
Water seepage on wall of room 152,Civil,7
Bathroom drainage clogged and overflowing in room 109,Plumbing,8
Window latch not closing in room 273,Carpenter,4
Charging points loose in room 278,Electrical,4
No power in one socket of room 240,Electrical,4
Minor wall crack in room 148,Civil,2
Window latch not closing in room 111,Carpenter,4
Electric shock from switch in room 299,Electrical,9
Study table wobbling in room 234,Carpenter,4
Charging points loose in room 244,Electrical,4
Charging points loose in room 111,Electrical,4
Paint peeling in room 183,Civil,2
Medical emergency: student unconscious in room 298,Other,10
Pest sighting in room 314,Other,3
Shower pressure very low in bathroom 266,Plumbing,3
Shower pressure very low in bathroom 284,Plumbing,3
Electric shock from switch in room 248,Electrical,9
No power in one socket of room 216,Electrical,4
Ceiling crack spreading in room 265,Civil,7
Sink drain slow and gurgling in room 175,Plumbing,3
Ceiling stains in room 222,Civil,2
Sparks coming from switchboard in room 247,Electrical,9
Charging points loose in room 150,Electrical,4
Shower pressure very low in bathroom 319,Plumbing,3
Pest sighting in room 259,Other,3
Shower pressure very low in bathroom 216,Plumbing,3
Study table wobbling in room 278,Carpenter,4
Window latch not closing in room 181,Carpenter,4
Fan making loud noise in room 171,Electrical,4
Wardrobe lock broken in room 223,Carpenter,4
Ceiling stains in room 225,Civil,2
Medical emergency: student unconscious in room 121,Other,10
Medical emergency: student unconscious in room 249,Other,10
Electric shock from switch in room 298,Electrical,9
Medical emergency: student unconscious in room 229,Other,10
Minor wall crack in room 195,Civil,2
Window latch not closing in room 112,Carpenter,4
Bathroom drainage clogged and overflowing in room 263,Plumbing,8
Very slow WiFi in room 246,Internet,5
Charging points loose in room 310,Electrical,4
Window latch not closing in room 255,Carpenter,4
Shower pressure very low in bathroom 285,Plumbing,3
Charging points loose in room 106,Electrical,4
Tube light not working in room 224,Electrical,4
Shower pressure very low in bathroom 134,Plumbing,3
